Datas,Riad
2021/12/07,16
2021/12/08,16
2021/12/09,20
2021/12/10,15
2021/12/11,20
2021/12/12,21
2021/12/13,22
2021/12/14,39
2021/12/15,34
2021/12/16,31
2021/12/17,48
2021/12/18,36
2021/12/19,61
2021/12/20,77
2021/12/21,91
2021/12/22,116
2021/12/23,127
2021/12/24,122
2021/12/25,122
2021/12/26,164
2021/12/27,179
2021/12/28,187
2021/12/29,194
2021/12/30,234
2021/12/31,224
2022/01/01,337
2022/01/02,437
2022/01/03,799
2022/01/04,855
2022/01/05,921
2022/01/06,985
2022/01/07,842
2022/01/08,1003
2022/01/09,1332
2022/01/10,1070
2022/01/11,1492
2022/01/12,1565
2022/01/13,1608
2022/01/14,1524
2022/01/15,1472
2022/01/16,1546
2022/01/17,1911
2022/01/18,1525
2022/01/19,1476
2022/01/20,1327
2022/01/21,1194
2022/01/22,1408
2022/01/23,1511
2022/01/24,1523
2022/01/25,1489
2022/01/26,1559
2022/01/27,1564
2022/01/28,1301
2022/01/29,1301
2022/01/30,1507
2022/01/31,1368
2022/02/01,1408
2022/02/02,1306
2022/02/03,1209
2022/02/04,1029
2022/02/05,1115
2022/02/06,1242
2022/02/07,1066
2022/02/08,985
2022/02/09,956
2022/02/10,851
2022/02/11,643
2022/02/12,765
2022/02/13,735
2022/02/14,617
2022/02/15,546
2022/02/16,499
2022/02/17,391
2022/02/18,295
2022/02/19,284
2022/02/20,300
2022/02/21,229
2022/02/22,162
2022/02/23,201
2022/02/24,172
2022/02/25,150
2022/02/26,183
2022/02/27,183
2022/02/28,158
2022/03/01,140
2022/03/02,114
2022/03/03,105
2022/03/04,75
2022/03/05,92
2022/03/06,86
2022/03/07,62
2022/03/08,53
2022/03/09,54
2022/03/10,51
2022/03/11,40
2022/03/12,47
2022/03/13,44
2022/03/14,38
2022/03/15,38
2022/03/16,27
2022/03/17,25
2022/03/18,24
2022/03/19,32
2022/03/20,30
2022/03/21,28
2022/03/22,24
2022/03/23,26
2022/03/24,24
2022/03/25,19
2022/03/26,24
2022/03/27,31
2022/03/28,24
2022/03/29,28
2022/03/30,23
2022/03/31,20
2022/04/01,22
2022/04/02,18
2022/04/03,20
2022/04/04,23
2022/04/05,23
2022/04/06,22
2022/04/07,22
2022/04/08,16
2022/04/09,23
2022/04/10,30
2022/04/11,26
2022/04/12,22
2022/04/13,18
2022/04/14,19
2022/04/15,17
2022/04/16,16
2022/04/17,23
2022/04/18,23
2022/04/19,27
2022/04/20,28
2022/04/21,22
2022/04/22,17
2022/04/23,23
2022/04/24,22
2022/04/25,18
2022/04/26,13
2022/04/27,16
2022/04/28,18
2022/04/29,16
2022/04/30,17
2022/05/01,24
2022/05/02,18
2022/05/03,17
2022/05/04,22
2022/05/05,32
2022/05/06,40
2022/05/07,74
2022/05/08,102
2022/05/09,108
2022/05/10,127
2022/05/11,138
2022/05/12,116
2022/05/13,73
2022/05/14,92
2022/05/15,130
2022/05/16,105
2022/05/17,115
2022/05/18,103
2022/05/19,95
2022/05/20,92
2022/05/21,119
2022/05/22,138
2022/05/23,124
2022/05/24,122
2022/05/25,122
2022/05/26,112
2022/05/27,116
