,Datas,Berlim
488,2021/07/22,99.0
489,2021/07/23,155.0
490,2021/07/24,17.0
491,2021/07/25,11.0
492,2021/07/26,259.0
493,2021/07/27,197.0
494,2021/07/28,173.0
495,2021/07/29,213.0
496,2021/07/30,137.0
497,2021/07/31,33.0
498,2021/08/01,17.0
499,2021/08/02,263.0
500,2021/08/03,270.0
501,2021/08/04,307.0
502,2021/08/05,289.0
503,2021/08/06,238.0
504,2021/08/07,72.0
505,2021/08/08,21.0
506,2021/08/09,380.0
507,2021/08/10,366.0
508,2021/08/11,358.0
509,2021/08/12,473.0
510,2021/08/13,615.0
511,2021/08/14,126.0
512,2021/08/15,13.0
513,2021/08/16,594.0
514,2021/08/17,552.0
515,2021/08/18,510.0
516,2021/08/19,475.0
517,2021/08/20,343.0
518,2021/08/21,95.0
519,2021/08/22,42.0
520,2021/08/23,645.0
521,2021/08/24,471.0
522,2021/08/25,691.0
523,2021/08/26,346.0
524,2021/08/27,414.0
525,2021/08/28,79.0
526,2021/08/29,14.0
527,2021/08/30,586.0
528,2021/08/31,909.0
529,2021/09/01,736.0
530,2021/09/02,533.0
531,2021/09/03,413.0
532,2021/09/04,137.0
533,2021/09/05,17.0
534,2021/09/06,858.0
535,2021/09/07,548.0
536,2021/09/08,751.0
537,2021/09/09,541.0
538,2021/09/10,458.0
539,2021/09/11,187.0
540,2021/09/12,18.0
541,2021/09/13,761.0
542,2021/09/14,655.0
543,2021/09/15,685.0
544,2021/09/16,492.0
545,2021/09/17,357.0
546,2021/09/18,114.0
547,2021/09/19,6.0
548,2021/09/20,647.0
549,2021/09/21,429.0
550,2021/09/22,607.0
551,2021/09/23,450.0
552,2021/09/24,422.0
553,2021/09/25,112.0
554,2021/09/26,17.0
555,2021/09/27,332.0
556,2021/09/28,656.0
557,2021/09/29,635.0
558,2021/09/30,664.0
559,2021/10/01,521.0
560,2021/10/02,67.0
561,2021/10/03,24.0
562,2021/10/04,659.0
563,2021/10/05,584.0
564,2021/10/06,749.0
565,2021/10/07,516.0
566,2021/10/08,445.0
567,2021/10/09,140.0
568,2021/10/10,25.0
569,2021/10/11,667.0
570,2021/10/12,698.0
571,2021/10/13,554.0
572,2021/10/14,699.0
573,2021/10/15,578.0
574,2021/10/16,128.0
575,2021/10/17,43.0
576,2021/10/18,894.0
577,2021/10/19,824.0
578,2021/10/20,1090.0
579,2021/10/21,713.0
580,2021/10/22,707.0
581,2021/10/23,184.0
582,2021/10/24,67.0
583,2021/10/25,995.0
584,2021/10/26,1082.0
585,2021/10/27,1147.0
586,2021/10/28,1073.0
587,2021/10/29,869.0
588,2021/10/30,178.0
589,2021/10/31,81.0
590,2021/11/01,1500.0
591,2021/11/02,1240.0
592,2021/11/03,1525.0
593,2021/11/04,1560.0
594,2021/11/05,1675.0
595,2021/11/06,134.0
596,2021/11/07,87.0
597,2021/11/08,2209.0
598,2021/11/09,1657.0
599,2021/11/10,2873.0
600,2021/11/11,2185.0
601,2021/11/12,2149.0
602,2021/11/13,475.0
603,2021/11/14,147.0
604,2021/11/15,2593.0
605,2021/11/16,2886.0
606,2021/11/17,2795.0
607,2021/11/18,2321.0
608,2021/11/19,2398.0
609,2021/11/20,127.0
610,2021/11/21,104.0
611,2021/11/22,3262.0
612,2021/11/23,2867.0
613,2021/11/24,2711.0
614,2021/11/25,2843.0
615,2021/11/26,2558.0
616,2021/11/27,546.0
617,2021/11/28,287.0
618,2021/11/29,3172.0
619,2021/11/30,2552.0
620,2021/12/01,2544.0
621,2021/12/02,2539.0
622,2021/12/03,2244.0
623,2021/12/04,439.0
624,2021/12/05,308.0
625,2021/12/06,2614.0
626,2021/12/07,2910.0
627,2021/12/08,2618.0
628,2021/12/09,2178.0
629,2021/12/10,1596.0
630,2021/12/11,315.0
631,2021/12/12,156.0
632,2021/12/13,2579.0
633,2021/12/14,2089.0
634,2021/12/15,2271.0
635,2021/12/16,2391.0
636,2021/12/17,2261.0
637,2021/12/18,439.0
638,2021/12/19,243.0
639,2021/12/20,2941.0
640,2021/12/21,2294.0
641,2021/12/22,2488.0
642,2021/12/23,2000.0
643,2021/12/24,564.0
644,2021/12/25,51.0
645,2021/12/26,646.0
646,2021/12/27,2457.0
647,2021/12/28,2652.0
648,2021/12/29,1939.0
649,2021/12/30,2777.0
650,2021/12/31,701.0
651,2022/01/01,73.0
652,2022/01/02,479.0
653,2022/01/03,3196.0
654,2022/01/04,4226.0
655,2022/01/05,5443.0
656,2022/01/06,5962.0
657,2022/01/07,6051.0
658,2022/01/08,1712.0
659,2022/01/09,1057.0
660,2022/01/10,5276.0
661,2022/01/11,8862.0
662,2022/01/12,7797.0
663,2022/01/13,7238.0
664,2022/01/14,6069.0
665,2022/01/15,2245.0
666,2022/01/16,220.0
667,2022/01/17,7559.0
668,2022/01/18,10732.0
669,2022/01/19,11449.0
670,2022/01/20,10679.0
671,2022/01/21,14089.0
672,2022/01/22,2367.0
673,2022/01/23,683.0
674,2022/01/24,13211.0
675,2022/01/25,17416.0
676,2022/01/26,14730.0
677,2022/01/27,11736.0
678,2022/01/28,12762.0
679,2022/01/29,3427.0
680,2022/01/30,284.0
681,2022/01/31,12220.0
682,2022/02/01,12669.0
683,2022/02/02,17566.0
684,2022/02/03,13317.0
685,2022/02/04,9845.0
686,2022/02/05,1409.0
687,2022/02/06,743.0
688,2022/02/07,9578.0
689,2022/02/08,12302.0
690,2022/02/09,11467.0
691,2022/02/10,10164.0
692,2022/02/11,5406.0
693,2022/02/12,1077.0
694,2022/02/13,216.0
695,2022/02/14,5630.0
696,2022/02/15,11531.0
697,2022/02/16,8230.0
698,2022/02/17,6686.0
699,2022/02/18,11424.0
700,2022/02/19,2238.0
701,2022/02/20,232.0
702,2022/02/21,8244.0
703,2022/02/22,9836.0
704,2022/02/23,7395.0
705,2022/02/24,9396.0
706,2022/02/25,7083.0
707,2022/02/26,1015.0
708,2022/02/27,270.0
709,2022/02/28,6389.0
710,2022/03/01,5784.0
711,2022/03/02,7125.0
712,2022/03/03,7005.0
713,2022/03/04,6107.0
714,2022/03/05,899.0
715,2022/03/06,301.0
716,2022/03/07,5575.0
717,2022/03/08,625.0
718,2022/03/09,6946.0
719,2022/03/10,7635.0
720,2022/03/11,7246.0
721,2022/03/12,1106.0
722,2022/03/13,268.0
723,2022/03/14,9372.0
724,2022/03/15,8834.0
725,2022/03/16,8962.0
726,2022/03/17,7953.0
727,2022/03/18,5748.0
728,2022/03/19,450.0
729,2022/03/20,198.0
730,2022/03/21,6968.0
731,2022/03/22,11525.0
732,2022/03/23,9018.0
733,2022/03/24,8106.0
734,2022/03/25,6503.0
735,2022/03/26,943.0
736,2022/03/27,252.0
737,2022/03/28,7329.0
738,2022/03/29,7032.0
739,2022/03/30,7585.0
740,2022/03/31,6557.0
741,2022/04/01,5515.0
742,2022/04/02,666.0
743,2022/04/03,251.0
744,2022/04/04,5216.0
745,2022/04/05,7273.0
746,2022/04/06,5754.0
747,2022/04/07,4974.0
748,2022/04/08,3890.0
749,2022/04/09,1.0
750,2022/04/10,99.0
751,2022/04/11,4545.0
752,2022/04/12,5144.0
753,2022/04/13,4589.0
754,2022/04/14,3918.0
755,2022/04/15,197.0
756,2022/04/16,319.0
757,2022/04/17,147.0
758,2022/04/18,106.0
759,2022/04/19,4589.0
760,2022/04/20,4551.0
761,2022/04/21,3274.0
762,2022/04/22,2833.0
763,2022/04/23,286.0
764,2022/04/24,92.0
765,2022/04/25,5002.0
766,2022/04/26,4036.0
767,2022/04/27,4732.0
768,2022/04/28,3506.0
769,2022/04/29,2798.0
770,2022/04/30,124.0
771,2022/05/01,36.0
772,2022/05/02,2938.0
773,2022/05/03,4087.0
774,2022/05/04,2674.0
775,2022/05/05,2187.0
776,2022/05/06,1623.0
777,2022/05/07,111.0
778,2022/05/08,93.0
779,2022/05/09,2797.0
780,2022/05/10,3802.0
781,2022/05/11,2899.0
782,2022/05/12,2470.0
783,2022/05/13,2344.0
784,2022/05/14,233.0
785,2022/05/15,16.0
786,2022/05/16,2506.0
787,2022/05/17,2418.0
788,2022/05/18,1977.0
789,2022/05/19,1637.0
790,2022/05/20,1701.0
791,2022/05/21,38.0
792,2022/05/22,118.0
793,2022/05/23,2184.0
794,2022/05/24,2182.0
795,2022/05/25,1812.0
796,2022/05/26,25.0
797,2022/05/27,1755.0
798,2022/05/28,43.0
799,2022/05/30,1900.0
800,2022/05/31,1742.0
801,2022/06/01,1912.0
802,2022/06/02,1060.0
803,2022/06/03,1083.0
804,2022/06/08,1910.0
805,2022/06/09,2237.0
806,2022/06/10,1543.0
807,2022/06/14,2334.0
808,2022/06/15,2000.0
809,2022/06/16,2033.0
